Time,ECG Lead1,ECG Lead2,ECG Lead 3,BP1,Heart Beat,Temp 
2,0.074550129,-0.151490066,0.695807315,-0.482625483,0.002655029,98.6
4,0.055698372,-0.158940397,0.70205174,-0.530888031,0.001403809,98.59654594
6,0.084832905,-0.149006623,0.692239072,-0.434362934,0.006652832,98.59986898
8,0.061696658,-0.166390728,0.680642284,-0.627413127,0.003295898,98.5963665
10,0.042844901,-0.16307947,0.68956289,-0.579150579,0.019317627,98.59816196
12,0.092544987,-0.118377483,0.718108831,-0.675675676,-0.035095215,98.60066286
14,0.072836332,-0.074503311,0.813559322,-0.627413127,-0.05670166,98.59581176
16,0.091688089,-0.028145695,0.860838537,-0.627413127,0.175170898,98.59223423
18,0.120822622,-0.038907285,0.871543265,-0.579150579,0.161987305,98.58754078
20,0.092544987,-0.040562914,0.779661017,-0.434362934,-0.211029053,98.59062774
22,0.101113967,-0.012417219,0.667261374,-0.579150579,-0.643218994,98.5860992
24,0.162810626,0.011589404,0.630686887,-0.482625483,0.182342529,98.58776101
26,0.167095116,-0.002483444,0.645851918,-0.530888031,0.747283936,98.58732134
28,0.176520994,-0.021523179,0.680642284,-0.579150579,0.050598145,98.5903513
30,0.206512425,-0.072019868,0.670829616,-0.530888031,-0.366455078,98.58893569
32,0.231362468,-0.162251656,0.659232828,-0.579150579,-0.726379395,98.58418903
34,0.167952014,-0.176324503,0.772524532,-0.530888031,-0.086273193,98.58137491
36,0.144815767,-0.234271523,0.817127565,-0.482625483,0.459533691,98.58348406
38,0.139674379,-0.262417219,0.85102587,-0.530888031,0.608612061,98.58397327
40,0.124250214,-0.303807947,0.898305085,-0.530888031,0.311340332,98.5876702
42,0.159383033,-0.313741722,0.935771632,-0.482625483,0.092773438,98.59005856
44,0.142245073,-0.348509934,0.957181088,-0.482625483,-0.436462402,98.58609086
46,0.139674379,-0.373344371,0.987511151,-0.530888031,-0.631011963,98.59080519
48,0.179948586,-0.379966887,0.980374665,-0.434362934,-0.477661133,98.59319232
50,0.194515853,-0.381622517,0.982158787,-0.482625483,-0.126525879,98.58833089
52,0.201371037,-0.395695364,0.977698483,-0.482625483,0.502075195,98.59012211
54,0.245929734,-0.381622517,0.955396967,-0.482625483,0.502258301,98.58997714
56,0.252784919,-0.366721854,0.942908118,-0.386100386,0.621673584,98.58532432
58,0.258783205,-0.351821192,0.934879572,-0.482625483,0.290466309,98.58146872
60,0.301628106,-0.32615894,0.917930419,-0.434362934,-0.193023682,98.57723497
62,0.309340189,-0.301324503,0.898305085,-0.386100386,-0.514678955,98.57831321
64,0.303341902,-0.276490066,0.892952721,-0.579150579,-0.502563477,98.57564787
66,0.336760925,-0.228476821,0.883140054,-0.337837838,-0.142852783,98.57206799
68,0.329048843,-0.20115894,0.86440678,-0.482625483,-0.106994629,98.57236972
70,0.312767781,-0.178807947,0.868867083,-0.434362934,0.240783691,98.57667273
72,0.329905741,-0.148178808,0.857270294,-0.434362934,0.34866333,98.57784176
74,0.333333333,-0.116721854,0.842997324,-0.386100386,0.199310303,98.57974068
76,0.313624679,-0.09602649,0.844781445,-0.482625483,0.075317383,98.57708494
78,0.344473008,-0.062913907,0.834076717,-0.386100386,-0.046020508,98.57415338
80,0.346186804,-0.039735099,0.821587868,-0.579150579,-0.112335205,98.56952704
82,0.335904027,-0.017384106,0.833184657,-0.482625483,-0.088104248,98.57116069
84,0.349614396,0,0.829616414,-0.530888031,-0.022583008,98.57123323
86,0.345329906,0.009933775,0.822479929,-0.482625483,0.027648926,98.57109124
88,0.341902314,0.030629139,0.834968778,-0.530888031,0.0284729,98.57470819
90,0.358183376,0.037251656,0.82426405,-0.579150579,-0.003295898,98.57936334
92,0.359040274,0.055463576,0.820695807,-0.482625483,-0.032409668,98.58196022
94,0.340188518,0.060430464,0.835860839,-0.579150579,-0.039672852,98.57942701
96,0.355612682,0.05794702,0.825156111,-0.530888031,-0.019439697,98.58118969
98,0.363324764,0.067880795,0.816235504,-0.627413127,0.005706787,98.58378274
100,0.3479006,0.073675497,0.833184657,-0.579150579,0.024017334,98.58464464
102,0.371036847,0.07615894,0.818019625,-0.579150579,0.020965576,98.58786903
104,0.370179949,0.07781457,0.818019625,-0.579150579,0.01449585,98.59213738
106,0.36075407,0.081953642,0.820695807,-0.530888031,0.006103516,98.59351305
108,0.373607541,0.088576159,0.828724353,-0.579150579,0.008392334,98.58870243
110,0.375321337,0.089403974,0.822479929,-0.530888031,0.011901855,98.58554584
112,0.35646958,0.088576159,0.832292596,-0.627413127,0.009033203,98.58081324
114,0.372750643,0.089403974,0.834968778,-0.530888031,0.003112793,98.58516323
116,0.381319623,0.103476821,0.829616414,-0.627413127,-0.003112793,98.5850079
118,0.369323051,0.099337748,0.842105263,-0.530888031,-0.007873535,98.58795576
120,0.378748929,0.092715232,0.845673506,-0.579150579,-0.005340576,98.58752411
122,0.379605827,0.098509934,0.846565566,-0.579150579,-0.003295898,98.58746621
124,0.363324764,0.091887417,0.857270294,-0.579150579,0.000823975,98.58672335
126,0.370179949,0.094370861,0.859054416,-0.627413127,-0.000457764,98.59064107
128,0.391602399,0.105960265,0.85102587,-0.530888031,-0.00189209,98.59438392
130,0.364181662,0.09602649,0.860838537,-0.530888031,-0.00112915,98.59571542
132,0.378748929,0.098509934,0.86529884,-0.530888031,0.00112915,98.59363821
134,0.385604113,0.106788079,0.862622658,-0.482625483,0.004364014,98.591555
136,0.359897172,0.091059603,0.876003568,-0.530888031,0.005340576,98.58901
138,0.377892031,0.100165563,0.872435326,-0.530888031,0.004364014,98.59105348
140,0.377892031,0.105960265,0.883140054,-0.482625483,0.001403809,98.5937996
142,0.36503856,0.099337748,0.895628903,-0.434362934,0.00177002,98.59702613
144,0.380462725,0.101821192,0.902765388,-0.530888031,0.004638672,98.60008803
146,0.387317909,0.104304636,0.900981267,-0.434362934,0.005981445,98.59762574
148,0.371893745,0.110927152,0.910793934,-0.482625483,0.0050354,98.60063074
150,0.381319623,0.110927152,0.917930419,-0.530888031,0.000946045,98.60192782
152,0.405312768,0.118377483,0.914362177,-0.434362934,-0.001586914,98.59924284
154,0.377892031,0.113410596,0.926851026,-0.482625483,0.001312256,98.59805361
156,0.386461011,0.117549669,0.941123996,-0.482625483,0.000366211,98.59758562
158,0.40445587,0.14486755,0.954504906,-0.530888031,0.003814697,98.59759122
160,0.387317909,0.174668874,1.030330062,-0.482625483,0.001312256,98.59799693
162,0.399314482,0.238410596,1.127564674,-0.482625483,0.001586914,98.59644839
164,0.442159383,0.261589404,1.146297948,-0.482625483,0.000823975,98.59436269
